id_solicitacao,data_solicitacao,cpf_cliente,produto,valor_solicitado,status,canal_entrada,cidade,analista_responsavel
1,2025-01-18,82919005427,Emprestimo,16658.0,Aprovado,Web,Recife,Carlos
2,2025-01-12,57532219711,Cartao,7094.0,Aprovado,Web,Rio de Janeiro,Carlos
3,2025/02/25,41885063984,Emprestimo,75561.0,Pendente,App,Porto Alegre,Julia
4,14/02/2025,16068880053,Cartao,13896.0,Aprovado,Web,Fortaleza,Lucas
5,25/01/2025,75199612656,Cartao,15978.0,Negado,App,Porto Alegre,Lucas
6,2025/02/04,84918962842,Financiamento,34958.0,Negado,Agencia,Campinas,Carlos
7,28/01/2025,67719736043,Cartao,9173.0,Aprovado,Web,Sao Paulo,Lucas
8,2025/02/08,10894651859,Financiamento,,Negado,App,Sao Paulo,Lucas
9,2025-01-07,93500133515,Cartao,59802.0,Aprovado,Agencia,Recife,Lucas
10,2025-02-16,30828262046,Financiamento,25331.0,Pendente,App,Goiania,Ana
11,26/01/2025,88636820464,Financiamento,71217.0,Aprovado,App,Campinas,Marcos
12,06/01/2025,43562058480,Cartao,,Negado,Agencia,Sao Paulo,Carlos
13,2025-01-03,24000258095,Financiamento,1950.0,Aprovado,App,Fortaleza,Fernanda
14,2025-01-04,16093015464,Cartao,,Pendente,Agencia,Campinas,Fernanda
15,06/02/2025,25794931008,Financiamento,105497.0,Aprovado,App,Curitiba,Ana
16,2025/02/03,75064154844,Cartao,12070.0,Negado,Web,Goiania,Fernanda
17,2025/01/12,70046254920,Financiamento,,Pendente,App,Fortaleza,Julia
18,2025/02/08,45027883594,Emprestimo,19020.0,Aprovado,Agencia,Porto Alegre,Fernanda
19,2025/01/26,77203403567,Financiamento,42707.0,Aprovado,Web,Recife,Marcos
20,2025-01-19,98816607799,Financiamento,20603.0,Pendente,Agencia,Salvador,Julia
21,2025/01/02,97935293006,Cartao,76105.0,Pendente,Web,Porto Alegre,Julia
22,2025-02-25,87129192962,Emprestimo,,Negado,Agencia,Recife,Lucas
23,2025-02-15,40146137314,Cartao,,Pendente,App,Sao Paulo,Carlos
24,30/01/2025,46180238375,Cartao,,Negado,Agencia,Fortaleza,Fernanda
25,2025-02-19,54440266550,Emprestimo,16905.0,Negado,Agencia,Porto Alegre,Lucas
26,2025-02-06,76206609731,Cartao,,Pendente,Web,Salvador,Carlos
27,2025-01-22,41214499846,Financiamento,8087.0,Aprovado,Agencia,Rio de Janeiro,Marcos
28,2025/02/16,52578918840,Financiamento,15778.0,Negado,App,Belo Horizonte,Marcos
29,23/01/2025,71787343220,Financiamento,,Pendente,Agencia,Goiania,Lucas
30,2025-02-01,91185614879,Cartao,18487.0,Negado,App,Fortaleza,Julia
31,2025-01-20,42805365079,Cartao,,Aprovado,Agencia,Recife,Ana
32,2025-02-08,78798736065,Financiamento,72472.0,Aprovado,Web,Goiania,Lucas
33,06/01/2025,98234394418,Financiamento,,Pendente,Agencia,Salvador,Fernanda
34,2025-01-30,58213845165,Financiamento,111944.0,Aprovado,App,Goiania,Fernanda
35,17/01/2025,24949466351,Financiamento,119761.0,Aprovado,Web,Sao Paulo,Julia
36,2025-02-15,28052448717,Emprestimo,,Negado,Web,Belo Horizonte,Marcos
37,08/02/2025,82529607951,Cartao,,Aprovado,App,Goiania,Julia
